,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
31,GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),21/59,0.0007717541906398214,0.1060438492576029,0,0,2.5816193641099336,18.50206444924221,CCL14;CCL25;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL21;DUSP1;CCL20;PPBP;CXCL13;CXCL2;CX3CL1;CXCL10;CXCL11;CXCL12;CCL7;CCL17;CCL16;PF4
38,GO_Biological_Process_2023,Lymphocyte Migration (GO:0072676),16/41,0.0010323867599253,0.1163949893177339,0,0,2.9878784436239703,20.544299354018364,CCL14;RET;CCL25;CCL13;CCL24;CCL23;CCL11;CCL21;CCL20;GATA3;CX3CL1;CCL7;S1PR1;SAA1;CCL17;CCL16
33,GO_Biological_Process_2023,Catecholamine Biosynthetic Process (GO:0042423),7/11,0.0009109058949152044,0.1163949893177339,0,0,8.15956090651558,57.12566494735695,PNMT;MOXD1;TH;PAH;GATA3;INSM1;SNCA
36,GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),88/364,0.000992943277859614,0.1163949893177339,0,0,1.4963967711708075,10.347339786226671,MYOM1;MYLK2;PID1;RHOXF1;CITED1;SCX;FGF1;FGF2;VSIR;ACTG2;FGF5;CDH5;RIMS1;FGF7;C1QTNF1;LAMP3;DNMT3B;CD36;AMH;CD34;HOXA5;NAT8B;FOXD1;SLC11A1;TESC;AVPR2;ANK2;SOX11;PAX6;MMP8;DKK1;LGALS9C;POU3F3;LGALS9B;ADAM19;ACTA2;CLDN5;CLDN3;MYCN;IFNG;PLA2G10;CLDN19;PPARG;VSTM2A;RBMS3;PRKN;UHRF1;HPN;LEF1;GATA5;NTS;CALCR;CLEC7A;AGR2;E2F1;PPARGC1A;NTSR1;SNCA;EGR1;IL33;NTRK2;GSN;ANGPT1;EGF;NTRK3;PDE2A;FN1;HMGA2;AZU1;IGF1;INHBA;KLF4;POU4F1;MT3;BMP6;KLF2;FGF17;BMP2;IL6;ACTC1;WT1;ADM2;PIP;SPRY2;SLC26A9;BMPR1B;FGFR4;PF4
37,GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),8/14,0.0010320027914463,0.1163949893177339,0,0,6.217814300557287,42.755269877434735,SYT5;RIMS2;SYT4;UNC13C;RIMS1;RIMS4;UNC13A;SYT1
34,GO_Biological_Process_2023,Regulation Of Potassium Ion Transport (GO:0043266),13/30,0.0009588401908627408,0.1163949893177339,0,0,3.5687721172464446,24.802202991559195,KCNH2;KCNE1;KCNIP2;KCNE5;FHL1;CACNA1D;KCNA5;ANK2;KCNAB1;DPP6;CASQ2;NOS1;VIP
35,GO_Biological_Process_2023,Cellular Response To Estradiol Stimulus (GO:0071392),10/20,0.0009661018993581024,0.1163949893177339,0,0,4.664870995180039,32.38465981805209,H2AZ1;MYOG;CRHBP;SFRP1;ZNF703;SSTR1;SSTR2;ESR1;POU4F1;EGFR
32,GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),63/244,0.0008889676663317192,0.1163949893177339,0,0,1.6313228179658203,11.460776392199008,PSCA;CXCL17;HTR2C;HTR2A;FGF1;FGF2;CX3CL1;PYCARD;FFAR4;CCR7;CD36;AMH;EPHB1;ROS1;FGA;LMO3;ADIPOQ;NRG1;NPNT;MTURN;CCNA2;TGFBR3;DDR2;S100A7;CCL14;CCL13;SEMA7A;CCL11;GATA4;NOD2;RASGRP1;EGFR;P2RY6;CALCR;THPO;CCL7;PDGFD;ERBB2;ALKAL2;CCL17;CCL16;CCL25;CCL24;NTRK2;CCL23;CCL21;ANGPT1;CCL20;NTRK3;PLA2G2A;FN1;IGF1;MT3;MARCO;NELL1;BMP2;ACKR3;SPRY2;SPRY1;TEK;FGFR4;FGFR3;FERMT2
40,GO_Biological_Process_2023,Positive Regulation Of Filopodium Assembly (GO:0051491),12/27,0.0011434606392604,0.1197094388292406,0,0,3.7328794326241135,25.285390355745147,GPM6A;TENM1;DOCK11;NELL1;NLGN1;TENM2;MIEN1;CCL21;MYO3B;PLPPR5;NEURL1;CCR7
39,GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),14/34,0.0011354369709942,0.1197094388292406,0,0,3.267130286687482,22.15355352427885,TOP2A;SPAG5;PLK1;KIF25;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK
